[eSearchID]	[smart_phone_user_check]	[current_phone]	[current_phone] [other]	[SmartPhone_Model]	[alt_phone]	[Searching_and_Trying.0]	[Searching_and_Trying.1]	[Searching_and_Trying.2]	[Defending.0]	[Defending.1]	[Defending.2]	[Staying.0]	[Staying.1]	[Staying.2]	[Staying.3]	[Upgrading.0]	[Upgrading.1]	[Upgrading.2]	[Upgrading.3]	[Opposing.0]	[Opposing.1]	[Opposing.2]	[Opposing.3]	[Threats_to_Social_Identity.0]	[Threats_to_Social_Identity.1]	[Threats_to_Social_Identity.2]	[Threats_to_Social_Identity.3]	[Threats_to_Self_Image.0]	[Threats_to_Self_Image.1]	[Threats_to_Self_Image.2]	[Threats_to_Self_Image.3]	[Threats_to_Ability.0]	[Threats_to_Ability.1]	[Threats_to_Ability.2]	[Threats_to_Ability.3]	[Transfer_Cost.0]	[Transfer_Cost.1]	[Transfer_Cost.2]	[Transfer_Cost.3]	[Learning_Cost.0]	[Learning_Cost.1]	[Learning_Cost.2]	[Learning_Cost.3]	[Search_Cost.0]	[Search_Cost.1]	[Search_Cost.2]	[Service_Uncertainty.0]	[Service_Uncertainty.1]	[Service_Uncertainty.2]	[Benefit_Loss_Cost.0]	[Benefit_Loss_Cost.1]	[Benefit_Loss_Cost.2]	[Benefit_Loss_Cost.3]	[User_Identification.0]	[User_Identification.1]	[User_Identification.2]	[Brand_Identification.0]	[Brand_Identification.1]	[Brand_Identification.2]	[Brand_Identification.3]	[Alt_image.0]	[Alt_image.1]	[Alt_image.2]	[Habit.0]	[Habit.1]	[Habit.2]	[Habit.3]	[Inertia_Cognitive.0]	[Inertia_Cognitive.1]	[Inertia_Cognitive.2]	[Inertia_Behavioral.0]	[Inertia_Behavioral.1]	[Inertia_Behavioral.2]	[Inertia_Behavioral.3]	[Inertia_Affective.0]	[Inertia_Affective.1]	[Inertia_Affective.2]	[Self_efficacy.0]	[Self_efficacy.1]	[Self_efficacy.2]	[Self_efficacy.3]	[Ease_of_Use.0]	[Ease_of_Use.1]	[Ease_of_Use.2]	[Relative_Advantage.0]	[Relative_Advantage.1]	[Relative_Advantage.2]	[Familiarity.0]	[Familiarity.1]	[Familiarity.2]	[Relative_price]	[Smartphone_Attentiveness.0]	[Smartphone_Attentiveness.1]	[Smartphone_Attentiveness.2]	[Ego_Involvement.0]	[Ego_Involvement.1]	[Ego_Involvement.2]	[Gender]	[Age]	[Household_Income.0]	[Smartphone_Experience.0]	[Smartphone_Experience.1]	[Smartphone_Experience.2]	[Frequency]
1270059	1	1		5s	2	7	6	6	7	7	6	5	7	7	6	7	6	6	7	2	3	4	3	7	5	5	6	3	5	4	5	7	6	6	5	6	5	7	7	3	4	5	4	7	7	4	6	6	4	6	4	4	6	4	5	5	6	6	5	4	4	6	6	6	5	7	7	4	5	6	5	5	4	6	7	6	7	5	4	7	7	6	6	7	4	4	5	6	5	4	4	5	3	5	5	4	4	0	3	11	3	7	7	4
1413301	1	4			2	7	2	7	5	5	2	1	1	2	1	6	6	3	3	1	1	1	1	7	5	4	4	4	4	1	1	3	3	1	2	3	4	4	6	5	3	4	5	4	5	2	4	3	3	4	1	1	4	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	2	7	7	7	7	7	7	1	4	1	1	3	4	1	2	2	4
320619	1	1		4S	2	4	4	3	4	4	5	6	7	6	6	4	5	5	5	2	2	2	2	4	3	4	2	4	4	4	5	4	3	3	1	1	1	1	1	1	3	3	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	6	6	6	5	5	5	5	5	5	5	5	6	5	2	6	6	7	6	4	4	4	4	4	4	1	1	1	4	2	3	2	2	2	5	0	6	5	3	6	2	3
1317198	1	2		S3	1	5	5	4	6	6	6	4	5	5	4	2	3	4	4	4	4	4	4	1	1	1	1	1	1	3	5	5	5	4	5	6	5	5	5	5	6	6	6	6	6	6	5	5	5	6	6	4	4	4	4	4	4	4	4	4	5	5	5	6	6	6	5	5	4	4	4	5	5	5	5	5	5	6	5	6	5	5	4	4	4	4	4	4	2	4	7	4	4	4	5	5	5	1	5	10	2	7	2	4
56398	1	3		DNA	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	1	4	2	4	3	3	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	4	4	4	4	2	4	3	3	3	3	3	4	4	4	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	3	3	3	5	2	2	2	2	2	2	1	5	9	3	7	1	3
282110	1	5		razr m	2	6	6	5	6	7	6	5	7	6	6	2	4	5	7	4	4	4	4	5	2	3	3	4	5	3	6	6	7	7	6	5	6	4	5	6	5	7	6	6	5	6	4	5	6	1	1	1	1	4	4	4	5	5	6	5	6	5	6	5	7	6	7	6	7	7	7	6	6	6	6	7	7	5	7	6	6	5	6	6	4	4	5	5	5	6	6	6	7	6	1	1	1	1	3	5	2	5	5	6
1493649	1	1		5	2	5	5	6	4	4	4	1	1	2	2	3	2	2	5	2	2	2	1	2	2	2	1	3	2	1	1	2	1	1	5	3	2	2	1	2	5	3	2	2	4	2	2	3	3	2	3	2	2	2	3	2	3	5	4	4	2	4	3	6	4	5	4	5	4	5	3	4	4	3	3	5	4	3	4	4	3	3	4	4	3	4	5	3	4	4	2	3	2	4	2	3	3	0	2	1	3	5	2	6
1095120	1	9	Kyocera	Event	2	1	1	1	7	4	4	7	7	7	7	1	4	1	7	1	1	1	1	1	1	1	1	4	4	4	7	1	1	4	1	7	4	7	7	7	7	7	7	1	1	1	4	7	4	7	1	1	1	4	4	4	1	4	1	1	1	7	1	7	7	4	1	7	7	7	4	7	4	5	7	4	7	4	4	4	4	4	4	4	1	1	1	1	1	1	7	1	1	1	1	1	4	1	6	2	1	1	1	1
1232139	1	8		s4	1	4	4	7	5	5	5	7	7	6	6	4	4	4	4	7	7	7	7	4	4	4	4	7	7	7	7	4	4	4	4	7	7	7	6	6	6	3	3	4	4	4	7	7	7	4	4	4	4	7	7	7	7	6	6	6	7	7	7	4	4	4	4	4	4	4	4	4	4	4	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	5	5	5	1	3	4	2	3	1	2
1340657	1	1		4s	2	5	6	5	5	5	4	5	6	6	3	6	5	5	5	6	5	5	4	6	5	5	6	5	4	4	4	5	4	4	4	6	5	5	5	5	5	4	5	6	5	5	4	3	4	5	5	6	5	4	5	4	4	5	4	5	6	6	5	6	5	5	6	6	5	5	6	5	6	5	4	4	4	5	4	6	5	6	6	6	5	6	5	5	5	6	3	6	5	6	6	6	5	1	4	7	2	1	3	4
