media,INTEND.0,INTEND.1,INTEND.2,ATT.0,ATT.1,ATT.2,Humor.0,Humor.1,Humor.2,Humor.3,ArQu.0,ArQu.1,ArQu.2,ArQu.3,SourceCredibility.0,SourceCredibility.1,SourceCredibility.2,SourceCredibility.3,recall_total
2,4,4,4,5,5,5,4,4,4,6,7,6,6,4,7,6,6,6,4
2,6,6,5,6,6,5,4,5,5,5,6,5,5,6,5,5,6,6,5
2,4,3,4,5,5,5,4,4,7,5,5,4,4,4,4,4,4,4,5
2,4,5,4,5,3,5,6,6,6,6,6,6,6,5,6,4,4,5,3
2,5,5,6,7,7,7,6,6,3,6,7,7,7,7,7,7,7,7,6
2,4,5,5,5,4,5,3,4,4,4,4,5,4,5,4,5,5,5,4
2,4,4,4,6,6,6,5,5,4,6,6,6,5,5,6,6,6,6,4
2,4,4,4,4,4,4,6,4,4,6,4,4,4,4,4,4,4,4,5
2,4,5,3,6,6,6,5,5,3,4,5,5,4,3,5,4,4,4,6
2,7,7,7,7,7,7,1,1,4,1,7,7,7,7,7,7,7,7,5
2,4,4,4,4,4,4,5,5,4,5,5,4,3,2,4,4,4,2,6
2,4,4,4,6,6,6,3,3,6,3,7,7,7,6,6,6,6,6,3
2,2,2,1,4,3,4,3,3,4,2,4,4,3,5,5,4,5,3,5
2,4,4,4,6,4,6,4,4,4,4,7,6,6,4,6,6,6,6,5
2,4,4,4,6,6,6,4,4,5,4,6,4,4,4,5,5,5,4,5
2,5,5,5,6,6,6,2,2,2,2,7,7,7,5,6,6,6,5,3
2,4,7,4,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,3
2,1,1,1,4,4,5,4,4,4,6,6,5,5,5,7,4,4,5,4
2,7,5,7,7,7,7,3,5,6,6,7,7,7,5,5,5,6,7,1
2,3,2,3,5,5,5,5,4,2,3,5,6,6,3,4,4,4,4,5
2,4,7,4,7,7,7,5,5,6,5,7,6,7,3,7,4,4,4,4
2,3,4,3,5,4,4,1,1,1,5,5,5,3,4,4,3,3,3,4
2,6,6,6,7,6,7,7,6,5,7,7,7,7,7,6,6,6,7,6
2,4,4,4,7,7,7,4,4,7,4,7,7,7,7,7,7,7,7,6
2,2,3,2,1,7,7,7,7,3,4,2,7,2,2,6,4,6,2,5
2,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,5
2,5,5,5,6,6,6,4,4,4,5,6,6,6,6,6,6,6,6,2
2,3,5,4,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,6
2,1,1,1,5,5,5,5,5,7,6,6,6,6,6,4,4,4,4,6
2,2,2,3,5,5,6,5,5,4,5,5,5,4,5,5,5,5,5,6
2,5,5,4,7,7,7,7,7,6,6,6,6,7,6,5,4,5,4,5
2,2,3,2,6,5,6,5,5,1,6,6,6,6,4,6,5,5,6,4
2,6,7,7,7,7,7,1,2,4,6,7,7,7,7,7,7,7,7,1
2,3,3,3,5,4,5,1,1,4,2,7,7,7,5,6,6,6,5,2
2,1,1,1,4,4,4,3,1,1,4,4,4,4,4,5,4,4,5,2
2,4,3,1,4,5,5,5,4,3,5,7,5,4,5,5,4,4,4,3
2,4,5,5,5,5,5,6,6,5,5,7,7,7,7,7,4,4,5,3
2,6,6,6,7,7,7,5,3,5,5,7,7,7,6,7,4,4,5,6
